Address,Latitude,Longitude,Easting,Northing
E10 6JZ,51.567454,-0.003056,538503,187287
E4 8SG,51.604219,-0.014412,537605,191354
E17 5DP,51.599488,-0.024466,536923,190809
E17 9RZ,51.585291,-0.013967,537693,189250
E17 6HL,51.58797,-0.038492,535986,189502
B9 4US,52.48074,-1.854877,409953,286989
B27 7XY,52.444769,-1.820598,412291,282993
B38 9DE,52.39811,-1.931542,404755,277790
B74 4RZ,52.589637,-1.836186,411195,299105
B6 4PZ,52.496412,-1.891075,407492,288728
B7 4AG,52.489125,-1.88613,407829,287918
B32 3QJ,52.436364,-1.997956,400236,282043
B14 5TL,52.405397,-1.891343,407489,278604
B4 7QD,52.483229,-1.887412,407743,287262
B14 7EG,52.433697,-1.890244,407559,281752
B74 2NH,52.56902,-1.821995,412162,296814
B76 1QT,52.547294,-1.811333,412891,294399
B9 4TR,52.478629,-1.856754,409826,286754
B30 1QJ,52.424839,-1.95478,403172,280762
B20 3DP,52.513029,-1.895573,407184,290576
B44 9SR,52.549214,-1.886196,407814,294602
B26 2HX,52.468209,-1.789914,414369,285606
B45 9NY,52.396313,-2.003307,399872,277588
B30 1UL,52.427927,-1.942968,403975,281106
B75 7JT,52.561439,-1.797686,413812,295975
B32 1RJ,52.455737,-2.0029,399900,284198
B45 0EU,52.404889,-2.01661,398967,278542
B16 9GD,52.476964,-1.955566,403115,286560
B11 2QG,52.458281,-1.860647,409566,284490
B11 2QG,52.458281,-1.860647,409566,284490
B44 8NU,52.546038,-1.90303,406673,294247
B35 7NL,52.519264,-1.780608,414984,291287
B28 0AA,52.434363,-1.85022,410280,281831
B20 1HL,52.529225,-1.942159,404021,292374
B21 9ET,52.50475,-1.933352,404621,289652
B20 2HL,52.515373,-1.928016,404982,290834
B15 3JL,52.461942,-1.937655,404333,284890
B7 4QR,52.487794,-1.875855,408527,287771
B32 3AE,52.445748,-1.982433,401291,283087
B36 8HB,52.501576,-1.820514,412281,289312
B36 8EY,52.502588,-1.817785,412466,289425
B19 2EP,52.500294,-1.899875,406894,289159
B10 0AX,52.467302,-1.864534,409300,285493
B21 0HN,52.505234,-1.947641,403651,289705
B33 9UF,52.483293,-1.770052,415713,287288
B75 7DY,52.560491,-1.795566,413956,295870
B6 6EL,52.506013,-1.89033,407541,289796
B6 6DJ,52.503662,-1.885636,407860,289535
B14 7QJ,52.431092,-1.902282,406741,281461
B14 7QJ,52.431092,-1.902282,406741,281461
B32 4BT,52.432103,-1.999309,400144,281569
B21 9AR,52.50184,-1.923751,405273,289329
B26 2RZ,52.467506,-1.779172,415099,285530
B13 0RJ,52.422583,-1.878464,408362,280517
B30 1DY,52.417156,-1.94157,404071,279908
B30 1HW,52.420713,-1.935757,404466,280304
B24 8RE,52.514502,-1.838218,411076,290747
B17 8BJ,52.472427,-1.966686,402360,286055
B17 8QB,52.468758,-1.963214,402596,285647
B13 9UU,52.44036,-1.865072,409269,282496
B27 7QG,52.439392,-1.832579,411478,282393
B19 2LF,52.495689,-1.907397,406384,288646
B44 0HF,52.533995,-1.878363,408348,292910
B8 3HG,52.490482,-1.845508,410587,288074
B3 1SJ,52.484038,-1.907702,406365,287350
B15 1LZ,52.472665,-1.907269,406396,286085
